sequence_id,species,chrom,split,gc,held_out
TAIR10.dna.toplevel_1_3129685_3130708_-,arabidopsis,1,train,0.3515625,False
TAIR10.dna.toplevel_1_23832151_23833174_+,arabidopsis,1,train,0.3955078125,False
TAIR10.dna.toplevel_1_20531860_20532883_-,arabidopsis,1,train,0.2978515625,False
TAIR10.dna.toplevel_1_27785193_27786216_-,arabidopsis,1,train,0.513671875,False
TAIR10.dna.toplevel_1_8184291_8185314_-,arabidopsis,1,train,0.310546875,False
TAIR10.dna.toplevel_1_23610326_23611349_+,arabidopsis,1,train,0.2822265625,False
TAIR10.dna.toplevel_1_6411148_6412171_+,arabidopsis,1,train,0.423828125,False
TAIR10.dna.toplevel_1_8006622_8007645_+,arabidopsis,1,train,0.35546875,False
TAIR10.dna.toplevel_1_26950231_26951254_-,arabidopsis,1,train,0.337890625,False
TAIR10.dna.toplevel_1_3060700_3061723_+,arabidopsis,1,train,0.3486328125,False
TAIR10.dna.toplevel_1_10739251_10740274_-,arabidopsis,1,train,0.3896484375,False
TAIR10.dna.toplevel_1_3659375_3660398_-,arabidopsis,1,train,0.3740234375,False
TAIR10.dna.toplevel_1_18497460_18498483_-,arabidopsis,1,train,0.248046875,False
TAIR10.dna.toplevel_1_23708267_23709290_+,arabidopsis,1,train,0.37890625,False
TAIR10.dna.toplevel_1_18369069_18370092_-,arabidopsis,1,train,0.3916015625,False
TAIR10.dna.toplevel_1_27328973_27329996_+,arabidopsis,1,train,0.376953125,False
TAIR10.dna.toplevel_1_26824323_26825346_-,arabidopsis,1,train,0.3740234375,False
TAIR10.dna.toplevel_1_14931355_14932378_+,arabidopsis,1,train,0.31640625,False
TAIR10.dna.toplevel_1_20008067_20009090_-,arabidopsis,1,train,0.283203125,False
TAIR10.dna.toplevel_1_10638327_10639350_+,arabidopsis,1,train,0.33984375,False
TAIR10.dna.toplevel_1_9741842_9742865_+,arabidopsis,1,train,0.3857421875,False
TAIR10.dna.toplevel_1_6354919_6355942_+,arabidopsis,1,train,0.4248046875,False
TAIR10.dna.toplevel_1_1106371_1107394_-,arabidopsis,1,train,0.3896484375,False
TAIR10.dna.toplevel_1_15989727_15990750_+,arabidopsis,1,train,0.3515625,False
TAIR10.dna.toplevel_1_3014006_3015029_+,arabidopsis,1,train,0.384765625,False
TAIR10.dna.toplevel_1_29419532_29420555_+,arabidopsis,1,train,0.3154296875,False
TAIR10.dna.toplevel_1_1296596_1297619_+,arabidopsis,1,train,0.4150390625,False
TAIR10.dna.toplevel_1_30137689_30138712_-,arabidopsis,1,train,0.3037109375,False
TAIR10.dna.toplevel_1_28114092_28115115_-,arabidopsis,1,train,0.421875,False
TAIR10.dna.toplevel_1_17508371_17509394_+,arabidopsis,1,train,0.404296875,False
TAIR10.dna.toplevel_1_28504020_28505043_+,arabidopsis,1,train,0.345703125,False
TAIR10.dna.toplevel_1_30032525_30033548_-,arabidopsis,1,train,0.390625,False
TAIR10.dna.toplevel_1_19451337_19452360_-,arabidopsis,1,train,0.3095703125,False
TAIR10.dna.toplevel_1_15118390_15119413_-,arabidopsis,1,train,0.3525390625,False
TAIR10.dna.toplevel_1_22154159_22155182_-,arabidopsis,1,train,0.328125,False
TAIR10.dna.toplevel_1_2763979_2765002_-,arabidopsis,1,train,0.3388671875,False
TAIR10.dna.toplevel_1_20561590_20562613_+,arabidopsis,1,train,0.3486328125,False
TAIR10.dna.toplevel_1_16322359_16323382_-,arabidopsis,1,train,0.3798828125,False
TAIR10.dna.toplevel_1_28356099_28357122_+,arabidopsis,1,train,0.3037109375,False
TAIR10.dna.toplevel_1_8154923_8155946_+,arabidopsis,1,train,0.337890625,False
TAIR10.dna.toplevel_1_24544706_24545729_-,arabidopsis,1,train,0.2587890625,False
TAIR10.dna.toplevel_1_3930375_3931398_+,arabidopsis,1,train,0.419921875,False
TAIR10.dna.toplevel_1_12484269_12485292_+,arabidopsis,1,train,0.232421875,False
TAIR10.dna.toplevel_1_11158062_11159085_-,arabidopsis,1,train,0.390625,False
TAIR10.dna.toplevel_1_27377501_27378524_+,arabidopsis,1,train,0.38671875,False
TAIR10.dna.toplevel_1_3375829_3376852_+,arabidopsis,1,train,0.375,False
TAIR10.dna.toplevel_1_28699865_28700888_+,arabidopsis,1,train,0.3017578125,False
TAIR10.dna.toplevel_1_1517804_1518827_+,arabidopsis,1,train,0.318359375,False
TAIR10.dna.toplevel_1_895796_896819_+,arabidopsis,1,train,0.3701171875,False
TAIR10.dna.toplevel_1_21307062_21308085_+,arabidopsis,1,train,0.3076171875,False
TAIR10.dna.toplevel_1_20345342_20346365_+,arabidopsis,1,train,0.3388671875,False
TAIR10.dna.toplevel_1_13126810_13127833_+,arabidopsis,1,train,0.4169921875,False
TAIR10.dna.toplevel_1_12419836_12420859_+,arabidopsis,1,train,0.455078125,False
TAIR10.dna.toplevel_1_1221115_1222138_+,arabidopsis,1,train,0.3046875,False
TAIR10.dna.toplevel_1_6529389_6530412_+,arabidopsis,1,train,0.3857421875,False
TAIR10.dna.toplevel_1_24095885_24096908_+,arabidopsis,1,train,0.3779296875,False
TAIR10.dna.toplevel_1_16080414_16081437_+,arabidopsis,1,train,0.3623046875,False
TAIR10.dna.toplevel_1_24399281_24400304_+,arabidopsis,1,train,0.3330078125,False
TAIR10.dna.toplevel_1_22795110_22796133_+,arabidopsis,1,train,0.3662109375,False
TAIR10.dna.toplevel_1_18261511_18262534_-,arabidopsis,1,train,0.3720703125,False
TAIR10.dna.toplevel_1_20823880_20824903_+,arabidopsis,1,train,0.2236328125,False
TAIR10.dna.toplevel_1_28048239_28049262_-,arabidopsis,1,train,0.3017578125,False
TAIR10.dna.toplevel_1_2348955_2349978_+,arabidopsis,1,train,0.4541015625,False
TAIR10.dna.toplevel_1_2414970_2415993_-,arabidopsis,1,train,0.4619140625,False
TAIR10.dna.toplevel_1_11753916_11754939_-,arabidopsis,1,train,0.2822265625,False
TAIR10.dna.toplevel_1_6050465_6051488_+,arabidopsis,1,train,0.4033203125,False
TAIR10.dna.toplevel_1_16899237_16900260_-,arabidopsis,1,train,0.3447265625,False
TAIR10.dna.toplevel_1_1321331_1322354_+,arabidopsis,1,train,0.361328125,False
TAIR10.dna.toplevel_1_23465391_23466414_-,arabidopsis,1,train,0.4189453125,False
TAIR10.dna.toplevel_1_6689271_6690294_-,arabidopsis,1,train,0.4384765625,False
TAIR10.dna.toplevel_1_12031120_12032143_-,arabidopsis,1,train,0.353515625,False
TAIR10.dna.toplevel_1_28129572_28130595_+,arabidopsis,1,train,0.3837890625,False
TAIR10.dna.toplevel_1_23410829_23411852_+,arabidopsis,1,train,0.251953125,False
TAIR10.dna.toplevel_1_25747938_25748961_+,arabidopsis,1,train,0.330078125,False
TAIR10.dna.toplevel_1_26462646_26463669_+,arabidopsis,1,train,0.3388671875,False
TAIR10.dna.toplevel_1_28367743_28368766_+,arabidopsis,1,train,0.3330078125,False
TAIR10.dna.toplevel_1_11486103_11487126_-,arabidopsis,1,train,0.2724609375,False
TAIR10.dna.toplevel_1_3933011_3934034_-,arabidopsis,1,train,0.2822265625,False
TAIR10.dna.toplevel_1_22334026_22335049_+,arabidopsis,1,train,0.376953125,False
TAIR10.dna.toplevel_1_443045_444068_-,arabidopsis,1,train,0.3369140625,False
TAIR10.dna.toplevel_1_22859987_22861010_-,arabidopsis,1,train,0.4130859375,False
TAIR10.dna.toplevel_1_30202279_30203302_-,arabidopsis,1,train,0.298828125,False
TAIR10.dna.toplevel_1_21774595_21775618_-,arabidopsis,1,train,0.3955078125,False
TAIR10.dna.toplevel_1_13040670_13041693_-,arabidopsis,1,train,0.359375,False
TAIR10.dna.toplevel_1_5147679_5148702_+,arabidopsis,1,train,0.3173828125,False
TAIR10.dna.toplevel_1_15366394_15367417_+,arabidopsis,1,train,0.3447265625,False
TAIR10.dna.toplevel_1_11271490_11272513_+,arabidopsis,1,train,0.4365234375,False
TAIR10.dna.toplevel_1_18264332_18265355_-,arabidopsis,1,train,0.3720703125,False
TAIR10.dna.toplevel_1_4524400_4525423_+,arabidopsis,1,train,0.283203125,False
TAIR10.dna.toplevel_1_25574070_25575093_-,arabidopsis,1,train,0.3408203125,False
TAIR10.dna.toplevel_1_11818729_11819752_-,arabidopsis,1,train,0.287109375,False
TAIR10.dna.toplevel_1_22595671_22596694_-,arabidopsis,1,train,0.2802734375,False
TAIR10.dna.toplevel_1_19806433_19807456_+,arabidopsis,1,train,0.40625,False
TAIR10.dna.toplevel_1_24012201_24013224_-,arabidopsis,1,train,0.2626953125,False
TAIR10.dna.toplevel_1_13019698_13020721_-,arabidopsis,1,train,0.451171875,False
TAIR10.dna.toplevel_1_27813362_27814385_+,arabidopsis,1,train,0.392578125,False
TAIR10.dna.toplevel_1_51145_52168_+,arabidopsis,1,train,0.3349609375,False
TAIR10.dna.toplevel_1_23440546_23441569_-,arabidopsis,1,train,0.306640625,False
TAIR10.dna.toplevel_1_5371387_5372410_+,arabidopsis,1,train,0.380859375,False
TAIR10.dna.toplevel_1_7485921_7486944_-,arabidopsis,1,train,0.431640625,False
TAIR10.dna.toplevel_1_12705321_12706344_-,arabidopsis,1,train,0.294921875,False
TAIR10.dna.toplevel_1_1058491_1059514_-,arabidopsis,1,train,0.44140625,False
TAIR10.dna.toplevel_1_29249003_29250026_-,arabidopsis,1,train,0.3525390625,False
TAIR10.dna.toplevel_1_25910254_25911277_+,arabidopsis,1,train,0.357421875,False
TAIR10.dna.toplevel_1_5559130_5560153_-,arabidopsis,1,train,0.3916015625,False
TAIR10.dna.toplevel_1_2143669_2144692_-,arabidopsis,1,train,0.3193359375,False
TAIR10.dna.toplevel_1_23538977_23540000_+,arabidopsis,1,train,0.3193359375,False
TAIR10.dna.toplevel_1_14977515_14978538_-,arabidopsis,1,train,0.314453125,False
TAIR10.dna.toplevel_1_18837624_18838647_+,arabidopsis,1,train,0.353515625,False
TAIR10.dna.toplevel_1_29657929_29658952_+,arabidopsis,1,train,0.353515625,False
TAIR10.dna.toplevel_1_16595441_16596464_-,arabidopsis,1,train,0.3251953125,False
TAIR10.dna.toplevel_1_10470938_10471961_-,arabidopsis,1,train,0.458984375,False
TAIR10.dna.toplevel_1_1672924_1673947_-,arabidopsis,1,train,0.396484375,False
TAIR10.dna.toplevel_1_6308277_6309300_+,arabidopsis,1,train,0.3369140625,False
TAIR10.dna.toplevel_1_28100106_28101129_+,arabidopsis,1,train,0.4208984375,False
TAIR10.dna.toplevel_1_494233_495256_-,arabidopsis,1,train,0.4072265625,False
TAIR10.dna.toplevel_1_22767186_22768209_-,arabidopsis,1,train,0.3271484375,False
TAIR10.dna.toplevel_1_10609145_10610168_+,arabidopsis,1,train,0.328125,False
TAIR10.dna.toplevel_1_7164699_7165722_+,arabidopsis,1,train,0.4375,False
TAIR10.dna.toplevel_1_24069405_24070428_+,arabidopsis,1,train,0.3662109375,False
TAIR10.dna.toplevel_1_27606286_27607309_+,arabidopsis,1,train,0.376953125,False
TAIR10.dna.toplevel_1_6390775_6391798_+,arabidopsis,1,train,0.302734375,False
TAIR10.dna.toplevel_1_20413163_20414186_+,arabidopsis,1,train,0.369140625,False
TAIR10.dna.toplevel_1_29314958_29315981_-,arabidopsis,1,train,0.330078125,False
TAIR10.dna.toplevel_1_9394662_9395685_+,arabidopsis,1,train,0.431640625,False
TAIR10.dna.toplevel_1_3361507_3362530_-,arabidopsis,1,train,0.3603515625,False
TAIR10.dna.toplevel_1_28653409_28654432_-,arabidopsis,1,train,0.34375,False
TAIR10.dna.toplevel_1_21060074_21061097_+,arabidopsis,1,train,0.2578125,False
TAIR10.dna.toplevel_1_733014_734037_-,arabidopsis,1,train,0.40234375,False
TAIR10.dna.toplevel_1_15199426_15200449_+,arabidopsis,1,train,0.3662109375,False
TAIR10.dna.toplevel_1_28902443_28903466_-,arabidopsis,1,train,0.380859375,False
TAIR10.dna.toplevel_1_4476851_4477874_-,arabidopsis,1,train,0.4296875,False
TAIR10.dna.toplevel_1_3862429_3863452_+,arabidopsis,1,train,0.35546875,False
TAIR10.dna.toplevel_1_9341884_9342907_+,arabidopsis,1,train,0.291015625,False
TAIR10.dna.toplevel_1_1419273_1420296_+,arabidopsis,1,train,0.4287109375,False
TAIR10.dna.toplevel_1_6903346_6904369_-,arabidopsis,1,train,0.3681640625,False
TAIR10.dna.toplevel_1_18735310_18736333_-,arabidopsis,1,train,0.3037109375,False
TAIR10.dna.toplevel_1_12310913_12311936_+,arabidopsis,1,train,0.3564453125,False
TAIR10.dna.toplevel_1_28399127_28400150_-,arabidopsis,1,train,0.2861328125,False
TAIR10.dna.toplevel_1_23902757_23903780_-,arabidopsis,1,train,0.388671875,False
TAIR10.dna.toplevel_1_21479575_21480598_-,arabidopsis,1,train,0.357421875,False
TAIR10.dna.toplevel_1_12497324_12498347_+,arabidopsis,1,train,0.3828125,False
TAIR10.dna.toplevel_1_6974091_6975114_-,arabidopsis,1,train,0.37109375,False
TAIR10.dna.toplevel_1_19700663_19701686_-,arabidopsis,1,train,0.291015625,False
TAIR10.dna.toplevel_1_298537_299560_+,arabidopsis,1,train,0.4775390625,False
TAIR10.dna.toplevel_1_5067497_5068520_-,arabidopsis,1,train,0.3466796875,False
TAIR10.dna.toplevel_1_11187330_11188353_-,arabidopsis,1,train,0.3251953125,False
TAIR10.dna.toplevel_1_26495357_26496380_-,arabidopsis,1,train,0.421875,False
TAIR10.dna.toplevel_1_24108841_24109864_+,arabidopsis,1,train,0.3447265625,False
TAIR10.dna.toplevel_1_11349987_11351010_+,arabidopsis,1,train,0.419921875,False
TAIR10.dna.toplevel_1_1382542_1383565_-,arabidopsis,1,train,0.3505859375,False
TAIR10.dna.toplevel_1_5498248_5499271_+,arabidopsis,1,train,0.400390625,False
TAIR10.dna.toplevel_1_19577373_19578396_-,arabidopsis,1,train,0.34765625,False
TAIR10.dna.toplevel_1_12110017_12111040_-,arabidopsis,1,train,0.359375,False
TAIR10.dna.toplevel_1_18404080_18405103_+,arabidopsis,1,train,0.4189453125,False
TAIR10.dna.toplevel_1_9845106_9846129_+,arabidopsis,1,train,0.2822265625,False
TAIR10.dna.toplevel_1_16041189_16042212_+,arabidopsis,1,train,0.337890625,False
TAIR10.dna.toplevel_1_1619215_1620238_-,arabidopsis,1,train,0.4326171875,False
TAIR10.dna.toplevel_1_6025935_6026958_+,arabidopsis,1,train,0.3681640625,False
TAIR10.dna.toplevel_1_10155943_10156966_-,arabidopsis,1,train,0.32421875,False
TAIR10.dna.toplevel_1_28036733_28037756_-,arabidopsis,1,train,0.2958984375,False
TAIR10.dna.toplevel_1_10040342_10041365_-,arabidopsis,1,train,0.3642578125,False
TAIR10.dna.toplevel_1_3645737_3646760_+,arabidopsis,1,train,0.396484375,False
TAIR10.dna.toplevel_1_18818332_18819355_-,arabidopsis,1,train,0.396484375,False
TAIR10.dna.toplevel_1_15904957_15905980_-,arabidopsis,1,train,0.291015625,False
TAIR10.dna.toplevel_1_28214189_28215212_-,arabidopsis,1,train,0.388671875,False
TAIR10.dna.toplevel_1_4171649_4172672_-,arabidopsis,1,train,0.41796875,False
TAIR10.dna.toplevel_1_3892585_3893608_-,arabidopsis,1,train,0.3671875,False
TAIR10.dna.toplevel_1_14312151_14313174_+,arabidopsis,1,train,0.3642578125,False
TAIR10.dna.toplevel_1_10130188_10131211_-,arabidopsis,1,train,0.365234375,False
TAIR10.dna.toplevel_1_24654153_24655176_+,arabidopsis,1,train,0.34765625,False
TAIR10.dna.toplevel_1_5588698_5589721_-,arabidopsis,1,train,0.359375,False
TAIR10.dna.toplevel_1_27048849_27049872_+,arabidopsis,1,train,0.2626953125,False
TAIR10.dna.toplevel_1_2209046_2210069_+,arabidopsis,1,train,0.44140625,False
TAIR10.dna.toplevel_1_6645130_6646153_+,arabidopsis,1,train,0.306640625,False
TAIR10.dna.toplevel_1_2052061_2053084_-,arabidopsis,1,train,0.3623046875,False
TAIR10.dna.toplevel_1_263437_264460_+,arabidopsis,1,train,0.4140625,False
TAIR10.dna.toplevel_1_13214003_13215026_-,arabidopsis,1,train,0.3720703125,False
TAIR10.dna.toplevel_1_15050649_15051672_-,arabidopsis,1,train,0.4130859375,False
TAIR10.dna.toplevel_1_26450582_26451605_+,arabidopsis,1,train,0.4482421875,False
TAIR10.dna.toplevel_1_14194803_14195826_+,arabidopsis,1,train,0.3662109375,False
TAIR10.dna.toplevel_1_12359153_12360176_+,arabidopsis,1,train,0.3212890625,False
TAIR10.dna.toplevel_1_8754907_8755930_+,arabidopsis,1,train,0.37890625,False
TAIR10.dna.toplevel_1_14469377_14470400_+,arabidopsis,1,train,0.4453125,False
TAIR10.dna.toplevel_1_12029948_12030971_+,arabidopsis,1,train,0.3466796875,False
TAIR10.dna.toplevel_1_2142718_2143741_+,arabidopsis,1,train,0.39453125,False
TAIR10.dna.toplevel_1_30300012_30301035_-,arabidopsis,1,train,0.3955078125,False
TAIR10.dna.toplevel_1_25247644_25248667_+,arabidopsis,1,train,0.328125,False
TAIR10.dna.toplevel_1_3989968_3990991_-,arabidopsis,1,train,0.40234375,False
TAIR10.dna.toplevel_1_13353108_13354131_-,arabidopsis,1,train,0.3349609375,False
TAIR10.dna.toplevel_1_6953552_6954575_+,arabidopsis,1,train,0.35546875,False
TAIR10.dna.toplevel_1_26757419_26758442_+,arabidopsis,1,train,0.2998046875,False
TAIR10.dna.toplevel_1_20918340_20919363_+,arabidopsis,1,train,0.384765625,False
TAIR10.dna.toplevel_1_3510790_3511813_+,arabidopsis,1,train,0.4736328125,False
TAIR10.dna.toplevel_1_15381622_15382645_-,arabidopsis,1,train,0.46875,False
TAIR10.dna.toplevel_1_12134696_12135719_+,arabidopsis,1,train,0.3046875,False
TAIR10.dna.toplevel_1_3514702_3515725_-,arabidopsis,1,train,0.3544921875,False
TAIR10.dna.toplevel_1_4979546_4980569_-,arabidopsis,1,train,0.369140625,False
TAIR10.dna.toplevel_1_21419927_21420950_-,arabidopsis,1,train,0.353515625,False
TAIR10.dna.toplevel_1_29449269_29450292_-,arabidopsis,1,train,0.3291015625,False
TAIR10.dna.toplevel_1_22794142_22795165_-,arabidopsis,1,train,0.373046875,False
TAIR10.dna.toplevel_1_27968744_27969767_-,arabidopsis,1,train,0.419921875,False
TAIR10.dna.toplevel_1_16731804_16732827_+,arabidopsis,1,train,0.388671875,False
TAIR10.dna.toplevel_1_18213651_18214674_+,arabidopsis,1,train,0.2958984375,False
TAIR10.dna.toplevel_1_325635_326658_-,arabidopsis,1,train,0.384765625,False
TAIR10.dna.toplevel_1_23675797_23676820_-,arabidopsis,1,train,0.30078125,False
TAIR10.dna.toplevel_1_27451498_27452521_-,arabidopsis,1,train,0.3037109375,False
TAIR10.dna.toplevel_1_1190118_1191141_+,arabidopsis,1,train,0.4169921875,False
TAIR10.dna.toplevel_1_29342790_29343813_-,arabidopsis,1,train,0.376953125,False
TAIR10.dna.toplevel_1_20219455_20220478_+,arabidopsis,1,train,0.2548828125,False
TAIR10.dna.toplevel_1_28264017_28265040_-,arabidopsis,1,train,0.4326171875,False
TAIR10.dna.toplevel_1_19560496_19561519_-,arabidopsis,1,train,0.33203125,False
TAIR10.dna.toplevel_1_24096500_24097523_-,arabidopsis,1,train,0.3642578125,False
TAIR10.dna.toplevel_1_2226643_2227666_+,arabidopsis,1,train,0.470703125,False
TAIR10.dna.toplevel_1_17331797_17332820_+,arabidopsis,1,train,0.287109375,False
TAIR10.dna.toplevel_1_2226494_2227517_+,arabidopsis,1,train,0.4931640625,False
TAIR10.dna.toplevel_1_4378658_4379681_+,arabidopsis,1,train,0.3623046875,False
TAIR10.dna.toplevel_1_10081372_10082395_+,arabidopsis,1,train,0.431640625,False
TAIR10.dna.toplevel_1_25464416_25465439_-,arabidopsis,1,train,0.341796875,False
TAIR10.dna.toplevel_1_11092907_11093930_+,arabidopsis,1,train,0.3251953125,False
TAIR10.dna.toplevel_1_26865204_26866227_+,arabidopsis,1,train,0.3525390625,False
TAIR10.dna.toplevel_1_29148585_29149608_-,arabidopsis,1,train,0.4189453125,False
TAIR10.dna.toplevel_1_12459495_12460518_-,arabidopsis,1,train,0.373046875,False
TAIR10.dna.toplevel_1_30235580_30236603_+,arabidopsis,1,train,0.384765625,False
TAIR10.dna.toplevel_1_19255966_19256989_+,arabidopsis,1,train,0.353515625,False
TAIR10.dna.toplevel_1_22769077_22770100_+,arabidopsis,1,train,0.2421875,False
TAIR10.dna.toplevel_1_25064000_25065023_-,arabidopsis,1,train,0.373046875,False
TAIR10.dna.toplevel_1_30392958_30393981_+,arabidopsis,1,train,0.4345703125,False
TAIR10.dna.toplevel_1_9719516_9720539_-,arabidopsis,1,train,0.41796875,False
TAIR10.dna.toplevel_1_27705781_27706804_-,arabidopsis,1,train,0.333984375,False
TAIR10.dna.toplevel_1_28370004_28371027_-,arabidopsis,1,train,0.30078125,False
TAIR10.dna.toplevel_1_20381966_20382989_+,arabidopsis,1,train,0.3740234375,False
TAIR10.dna.toplevel_1_28565446_28566469_+,arabidopsis,1,train,0.2998046875,False
TAIR10.dna.toplevel_1_22044744_22045767_+,arabidopsis,1,train,0.3818359375,False
TAIR10.dna.toplevel_1_24855292_24856315_+,arabidopsis,1,train,0.376953125,False
TAIR10.dna.toplevel_1_10148272_10149295_-,arabidopsis,1,train,0.3388671875,False
TAIR10.dna.toplevel_1_11163084_11164107_+,arabidopsis,1,train,0.3466796875,False
TAIR10.dna.toplevel_1_16559449_16560472_-,arabidopsis,1,train,0.30859375,False
TAIR10.dna.toplevel_1_27683089_27684112_-,arabidopsis,1,train,0.310546875,False
TAIR10.dna.toplevel_1_25920133_25921156_-,arabidopsis,1,train,0.3720703125,False
TAIR10.dna.toplevel_1_12890262_12891285_-,arabidopsis,1,train,0.3369140625,False
TAIR10.dna.toplevel_1_2089058_2090081_+,arabidopsis,1,train,0.375,False
TAIR10.dna.toplevel_1_21507883_21508906_+,arabidopsis,1,train,0.2998046875,False
TAIR10.dna.toplevel_1_8017889_8018912_-,arabidopsis,1,train,0.3603515625,False
TAIR10.dna.toplevel_1_24476303_24477326_-,arabidopsis,1,train,0.3837890625,False
TAIR10.dna.toplevel_1_1863179_1864202_+,arabidopsis,1,train,0.3447265625,False
TAIR10.dna.toplevel_1_16150769_16151792_-,arabidopsis,1,train,0.3916015625,False
TAIR10.dna.toplevel_1_4727984_4729007_-,arabidopsis,1,train,0.400390625,False
TAIR10.dna.toplevel_1_29862153_29863176_+,arabidopsis,1,train,0.419921875,False
TAIR10.dna.toplevel_1_22600380_22601403_+,arabidopsis,1,train,0.3818359375,False
TAIR10.dna.toplevel_1_27188771_27189794_-,arabidopsis,1,train,0.3779296875,False
TAIR10.dna.toplevel_1_13795576_13796599_+,arabidopsis,1,train,0.3955078125,False
TAIR10.dna.toplevel_1_20527624_20528647_-,arabidopsis,1,train,0.4111328125,False
TAIR10.dna.toplevel_1_12974929_12975952_-,arabidopsis,1,train,0.333984375,False
TAIR10.dna.toplevel_1_1578163_1579186_+,arabidopsis,1,train,0.416015625,False
TAIR10.dna.toplevel_1_15800420_15801443_+,arabidopsis,1,train,0.4560546875,False
TAIR10.dna.toplevel_1_678742_679765_+,arabidopsis,1,train,0.390625,False
TAIR10.dna.toplevel_1_20075626_20076649_+,arabidopsis,1,train,0.41015625,False
TAIR10.dna.toplevel_1_21138162_21139185_-,arabidopsis,1,train,0.361328125,False
TAIR10.dna.toplevel_1_3533041_3534064_-,arabidopsis,1,train,0.384765625,False
TAIR10.dna.toplevel_1_6542230_6543253_-,arabidopsis,1,train,0.3251953125,False
TAIR10.dna.toplevel_1_26287112_26288135_-,arabidopsis,1,train,0.2734375,False
TAIR10.dna.toplevel_1_3724439_3725462_+,arabidopsis,1,train,0.40625,False
TAIR10.dna.toplevel_1_20472222_20473245_-,arabidopsis,1,train,0.3857421875,False
TAIR10.dna.toplevel_1_20613523_20614546_-,arabidopsis,1,train,0.296875,False
TAIR10.dna.toplevel_1_21826225_21827248_+,arabidopsis,1,train,0.298828125,False
TAIR10.dna.toplevel_1_22901894_22902917_-,arabidopsis,1,train,0.37890625,False
TAIR10.dna.toplevel_1_26459901_26460924_+,arabidopsis,1,train,0.3232421875,False
TAIR10.dna.toplevel_1_13007231_13008254_-,arabidopsis,1,train,0.376953125,False
TAIR10.dna.toplevel_1_25024362_25025385_+,arabidopsis,1,train,0.2822265625,False
TAIR10.dna.toplevel_1_17414996_17416019_+,arabidopsis,1,train,0.287109375,False
TAIR10.dna.toplevel_1_1281257_1282280_-,arabidopsis,1,train,0.291015625,False
TAIR10.dna.toplevel_1_14917617_14918640_-,arabidopsis,1,train,0.2900390625,False
TAIR10.dna.toplevel_1_25387828_25388851_+,arabidopsis,1,train,0.392578125,False
TAIR10.dna.toplevel_1_15283046_15284069_-,arabidopsis,1,train,0.4619140625,False
TAIR10.dna.toplevel_1_26493195_26494218_+,arabidopsis,1,train,0.458984375,False
TAIR10.dna.toplevel_1_1497901_1498924_+,arabidopsis,1,train,0.384765625,False
TAIR10.dna.toplevel_1_16312994_16314017_-,arabidopsis,1,train,0.4365234375,False
TAIR10.dna.toplevel_1_30234940_30235963_+,arabidopsis,1,train,0.375,False
TAIR10.dna.toplevel_1_17450425_17451448_+,arabidopsis,1,train,0.3349609375,False
TAIR10.dna.toplevel_1_7705952_7706975_+,arabidopsis,1,train,0.310546875,False
TAIR10.dna.toplevel_1_26049737_26050760_-,arabidopsis,1,train,0.4072265625,False
TAIR10.dna.toplevel_1_17015679_17016702_-,arabidopsis,1,train,0.232421875,False
TAIR10.dna.toplevel_1_3806580_3807603_+,arabidopsis,1,train,0.3583984375,False
TAIR10.dna.toplevel_1_14293190_14294213_-,arabidopsis,1,train,0.4091796875,False
TAIR10.dna.toplevel_1_2819648_2820671_+,arabidopsis,1,train,0.3701171875,False
